X	Y	composition	n_cells
-3.943923234939575	-1.112032800912857	[0.6571429  0.34285715]	35.0
-3.5333670377731323	-1.112032800912857	[0.67741936 0.32258064]	31.0
-3.122810959815979	-1.112032800912857	[0.46666667 0.53333336]	15.0
-2.7122548818588257	-1.112032800912857	[0.53846157 0.46153846]	13.0
-2.3016988039016724	-1.112032800912857	[0.6923077  0.30769232]	13.0
-1.891142725944519	-1.112032800912857	[0.61538464 0.3846154 ]	13.0
-1.4805866479873657	-1.112032800912857	[0.6923077  0.30769232]	13.0
-1.0700305700302124	-1.112032800912857	[0.6666667  0.33333334]	3.0
1.3933058977127075	-1.112032800912857	[1. 0.]	1.0
1.8038619756698608	-1.112032800912857	[0.8636364  0.13636364]	22.0
2.214418053627014	-1.112032800912857	[0.71794873 0.2820513 ]	39.0
2.6249741315841675	-1.112032800912857	[0.85 0.15]	40.0
3.035530209541321	-1.112032800912857	[0.7659575  0.23404256]	47.0
3.446086287498474	-1.112032800912857	[0.7948718  0.20512821]	39.0
3.856642246246338	-1.112032800912857	[0.6981132 0.3018868]	53.0
4.267198324203491	-1.112032800912857	[0.44230768 0.5576923 ]	52.0
4.677754640579224	-1.112032800912857	[0.2888889 0.7111111]	45.0
5.088310718536377	-1.112032800912857	[0.20212767 0.79787236]	94.0
5.498866558074951	-1.112032800912857	[0.35443038 0.6455696 ]	79.0
5.9094226360321045	-1.112032800912857	[0.36956522 0.6304348 ]	92.0
6.319978952407837	-1.112032800912857	[0.45192307 0.5480769 ]	104.0
6.73053503036499	-1.112032800912857	[0.6486486  0.35135135]	74.0
7.1410908699035645	-1.112032800912857	[0.825 0.175]	40.0
7.551646947860718	-1.112032800912857	[0.93333334 0.06666667]	45.0
7.96220326423645	-1.112032800912857	[0.8636364  0.13636364]	44.0
8.372759342193604	-1.112032800912857	[0.7894737  0.21052632]	19.0
-7.638927936553955	-0.6511712074279785	[0.4722222 0.5277778]	36.0
-7.228371858596802	-0.6511712074279785	[0.47368422 0.5263158 ]	57.0
-6.817815542221069	-0.6511712074279785	[0.45454547 0.54545456]	44.0
-6.407259464263916	-0.6511712074279785	[0.6034483  0.39655173]	58.0
-5.996703624725342	-0.6511712074279785	[0.6351351  0.36486486]	74.0
-5.5861475467681885	-0.6511712074279785	[0.6122449 0.3877551]	49.0
-5.175591230392456	-0.6511712074279785	[0.6956522 0.3043478]	46.0
-4.765035152435303	-0.6511712074279785	[0.82222223 0.17777778]	45.0
-4.3544793128967285	-0.6511712074279785	[0.67391306 0.32608697]	46.0
-3.943923234939575	-0.6511712074279785	[0.8918919  0.10810811]	37.0
-3.5333670377731323	-0.6511712074279785	[0.8235294 0.1764706]	34.0
-3.122810959815979	-0.6511712074279785	[0.8095238 0.1904762]	21.0
-2.7122548818588257	-0.6511712074279785	[0.71428573 0.2857143 ]	7.0
-2.3016988039016724	-0.6511712074279785	[0.23076923 0.7692308 ]	13.0
-1.891142725944519	-0.6511712074279785	[0.5833333  0.41666666]	12.0
-1.4805866479873657	-0.6511712074279785	[0.44 0.56]	25.0
-1.0700305700302124	-0.6511712074279785	[0.8 0.2]	10.0
-0.6594744920730591	-0.6511712074279785	[0.6666667  0.33333334]	9.0
-0.24891841411590576	-0.6511712074279785	[0.6571429  0.34285715]	35.0
0.16163766384124756	-0.6511712074279785	[0.8888889  0.11111111]	9.0
0.5721937417984009	-0.6511712074279785	[0.5555556  0.44444445]	9.0
0.9827498197555542	-0.6511712074279785	[1. 0.]	2.0
1.3933058977127075	-0.6511712074279785	[0.5 0.5]	10.0
1.8038619756698608	-0.6511712074279785	[0.65789473 0.34210527]	38.0
2.214418053627014	-0.6511712074279785	[0.73015875 0.26984128]	63.0
